buffer_distance_m,buffer_distance_km,probability_mean,probability_2.5_percentile,probability_97.5_percentile,num_outcomes
0,0.0,0.6640361111111112,0.6624931784599448,0.6655790437622775,360000
500,0.5,0.6985638888888889,0.6970648754514687,0.7000629023263091,360000
1000,1.0,0.7479361111111111,0.746517731799327,0.7493544904228953,360000
1500,1.5,0.7479361111111111,0.746517731799327,0.7493544904228953,360000
2000,2.0,0.7511833333333333,0.7497710640070103,0.7525956026596563,360000
2500,2.5,0.7791666666666667,0.7778116260370084,0.780521707296325,360000
3000,3.0,0.8076055555555556,0.8063178969533176,0.8088932141577936,360000
3500,3.5,0.8633638888888889,0.8622419104599263,0.8644858673178516,360000
4000,4.0,0.8704777777777778,0.86938090613527,0.8715746494202856,360000
4500,4.5,0.8906111111111111,0.8895914978365722,0.89163072438565,360000
5000,5.0,0.9090361111111112,0.9080967557931833,0.909975466429039,360000
5500,5.5,0.9098444444444445,0.908908856446824,0.910780032442065,360000
6000,6.0,0.9098555555555555,0.9089200195000329,0.9107910916110782,360000
6500,6.5,0.9376222222222222,0.9368322101709159,0.9384122342735286,360000
7000,7.0,0.9376222222222222,0.9368322101709159,0.9384122342735286,360000
7500,7.5,0.9378111111111112,0.9370222166503446,0.9386000055718777,360000
8000,8.0,0.9378111111111112,0.9370222166503446,0.9386000055718777,360000
8500,8.5,0.9653861111111111,0.9647889650914799,0.9659832571307422,360000
9000,9.0,0.9722222222222222,0.9716853927604224,0.972759051684022,360000
9500,9.5,0.9995416666666667,0.9994717475401593,0.999611585793174,360000
10000,10.0,0.9995416666666667,0.9994717475401593,0.999611585793174,360000
10500,10.5,0.9995416666666667,0.9994717475401593,0.999611585793174,360000
11000,11.0,0.9995416666666667,0.9994717475401593,0.999611585793174,360000
11500,11.5,1.0,1.0,1.0,360000
12000,12.0,1.0,1.0,1.0,360000
12500,12.5,1.0,1.0,1.0,360000
13000,13.0,1.0,1.0,1.0,360000
